number,name,image,theme,subtheme,year,rating,owner,want_it,pieces,minifigs,us_price,eu_price
41115,Emma's Creative Workshop,https://images.brickset.com/sets/small/41115-1.jpg,Friends,,2016,4.0,1425,382,108,1,9.99,9.99
41116,Olivia's Exploration Car,https://images.brickset.com/sets/small/41116-1.jpg,Friends,,2016,,1497,381,185,1,14.99,14.99
41117,Pop Star TV Studio,https://images.brickset.com/sets/small/41117-1.jpg,Friends,Pop Star,2016,4.0,860,414,194,1,19.99,17.49
41118,Heartlake Supermarket,https://images.brickset.com/sets/small/41118-1.jpg,Friends,,2016,5.0,2020,654,313,2,29.99,34.99
41119,Heartlake Cupcake Cafe,https://images.brickset.com/sets/small/41119-1.jpg,Friends,,2016,5.0,1707,694,439,2,39.99,39.99
41120,Adventure Camp Archery,https://images.brickset.com/sets/small/41120-1.jpg,Friends,Adventure Camp,2016,4.0,1353,399,114,1,9.99,9.99
41121,Adventure Camp Rafting,https://images.brickset.com/sets/small/41121-1.jpg,Friends,Adventure Camp,2016,5.0,1086,611,320,2,29.99,20.99
41122,Adventure Camp Tree House,https://images.brickset.com/sets/small/41122-1.jpg,Friends,Adventure Camp,2016,5.0,1373,812,726,3,79.99,34.99
41123,Foal's Washing Station,https://images.brickset.com/sets/small/41123-1.jpg,Friends,Vet,2016,,919,301,77,1,9.99,9.99
41124,Heartlake Puppy Daycare,https://images.brickset.com/sets/small/41124-1.jpg,Friends,Vet,2016,,887,418,286,2,29.99,29.99
41125,Horse Vet Trailer,https://images.brickset.com/sets/small/41125-1.jpg,Friends,Vet,2016,,935,409,370,2,39.99,39.99
41126,Heartlake Riding Club,https://images.brickset.com/sets/small/41126-1.jpg,Friends,,2016,,932,449,575,2,59.99,64.99
41127,Amusement Park Arcade,https://images.brickset.com/sets/small/41127-1.jpg,Friends,Amusement Park,2016,5.0,2049,551,174,1,14.99,14.99
41128,Amusement Park Space Ride,https://images.brickset.com/sets/small/41128-1.jpg,Friends,Amusement Park,2016,5.0,2140,589,195,1,19.99,19.99
41129,Amusement Park Hot Dog Van,https://images.brickset.com/sets/small/41129-1.jpg,Friends,Amusement Park,2016,3.5,3261,844,243,2,29.99,29.99
41130,Amusement Park Roller Coaster,https://images.brickset.com/sets/small/41130-1.jpg,Friends,Amusement Park,2016,4.5,2249,872,1124,4,99.99,99.99
41131,Friends Advent Calendar,https://images.brickset.com/sets/small/41131-1.jpg,Friends,Seasonal,2016,4.0,1158,237,218,2,29.99,19.99
41132,Heartlake Party Shop,https://images.brickset.com/sets/small/41132-1.jpg,Friends,Party,2016,,473,441,176,2,29.99,29.99
41133,Amusement Park Bumper Cars,https://images.brickset.com/sets/small/41133-1.jpg,Friends,Amusement Park,2016,4.0,1395,712,424,2,39.99,39.99
41134,Heartlake Performance School,https://images.brickset.com/sets/small/41134-1.jpg,Friends,,2016,3.0,557,641,774,3,79.99,79.99
41135,Livi's Pop Star House,https://images.brickset.com/sets/small/41135-1.jpg,Friends,Pop Star,2016,4.0,1206,740,597,2,49.99,54.99
41140,Daisy's Beauty Salon,https://images.brickset.com/sets/small/41140-1.jpg,Disney,Palace Pets,2016,,746,273,98,,9.99,4.99
41141,Pumpkin's Royal Carriage,https://images.brickset.com/sets/small/41141-1.jpg,Disney,Palace Pets,2016,3.0,786,292,79,,9.99,9.99
41142,Palace Pets Royal Castle,https://images.brickset.com/sets/small/41142-1.jpg,Disney,Palace Pets,2016,,752,320,186,,19.99,19.99
41171,Emily Jones & the Baby Wind Dragon,https://images.brickset.com/sets/small/41171-1.jpg,Elves,,2016,3.5,1957,443,80,1,9.99,9.99
41172,The Water Dragon Adventure,https://images.brickset.com/sets/small/41172-1.jpg,Elves,,2016,4.0,2555,440,212,1,19.99,24.99
41173,Elvendale School of Dragons,https://images.brickset.com/sets/small/41173-1.jpg,Elves,,2016,,1434,497,230,1,19.99,19.99
41174,The Starlight Inn,https://images.brickset.com/sets/small/41174-1.jpg,Elves,,2016,5.0,1477,580,343,2,29.99,29.99
41175,Fire Dragon's Lava Cave,https://images.brickset.com/sets/small/41175-1.jpg,Elves,,2016,,1749,554,441,2,39.99,39.99
41176,The Secret Market Place,https://images.brickset.com/sets/small/41176-1.jpg,Elves,,2016,5.0,1511,713,691,2,59.99,29.99
41177,The Precious Crystal Mine,https://images.brickset.com/sets/small/41177-1.jpg,Elves,,2016,,1173,522,273,2,29.99,17.49
41178,The Dragon Sanctuary,https://images.brickset.com/sets/small/41178-1.jpg,Elves,,2016,,1077,678,585,2,49.99,49.99
41179,Queen Dragon's Rescue,https://images.brickset.com/sets/small/41179-1.jpg,Elves,,2016,,1433,575,833,2,69.99,69.99
41180,Ragana's Magic Shadow Castle,https://images.brickset.com/sets/small/41180-1.jpg,Elves,,2016,5.0,1352,638,1014,3,99.99,89.99
41490,Superman & Wonder Woman,https://images.brickset.com/sets/small/41490-1.jpg,BrickHeadz,DC Comics Super Heroes,2016,,139,790,220,,39.99,
41491,Batman & The Joker,https://images.brickset.com/sets/small/41491-1.jpg,BrickHeadz,DC Comics Super Heroes,2016,,151,820,212,,39.99,
41492,Iron Man & Captain America,https://images.brickset.com/sets/small/41492-1.jpg,BrickHeadz,Marvel Super Heroes,2016,,137,759,184,,39.99,
41493,Black Panther & Doctor Strange,https://images.brickset.com/sets/small/41493-1.jpg,BrickHeadz,Marvel Super Heroes,2016,,150,819,173,,39.99,
41554,Kuffs,https://images.brickset.com/sets/small/41554-1.jpg,Mixels,Series 7,2016,,2044,258,63,,4.99,1.99
41555,Busto,https://images.brickset.com/sets/small/41555-1.jpg,Mixels,Series 7,2016,,2144,230,69,,4.99,1.99
41556,Tiketz,https://images.brickset.com/sets/small/41556-1.jpg,Mixels,Series 7,2016,,1939,241,62,,4.99,1.99
41557,Camillot,https://images.brickset.com/sets/small/41557-1.jpg,Mixels,Series 7,2016,,2076,282,64,,4.99,1.99
41558,Mixadel,https://images.brickset.com/sets/small/41558-1.jpg,Mixels,Series 7,2016,,2088,269,63,,4.99,1.99
